question,answer,category,keywords
What are the benefits of regular exercise? (example 2),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 2),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 2),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 2),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 3),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 3),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 3),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 3),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 3),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 3),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 3),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 3),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 4),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 4),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 4),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 4),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 4),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 4),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 4),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 4),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 5),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 5),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 5),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 5),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 5),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 5),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 5),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 5),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 6),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 6),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 6),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 6),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 6),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 6),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 6),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 6),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 7),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 7),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 7),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 7),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 7),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 7),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 7),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 7),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 8),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 8),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 8),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 8),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 8),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 8),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 8),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 8),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 9),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 9),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 9),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 9),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 9),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 9),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 9),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 9),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 10),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 10),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 10),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 10),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 10),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 10),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 10),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 10),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 11),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 11),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 11),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 11),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 11),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 11),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 11),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 11),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 12),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 12),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 12),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 12),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 12),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 12),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 12),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 12),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 13),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 13),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 13),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 13),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 13),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 13),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 13),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 13),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 14),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 14),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 14),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 14),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 14),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 14),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 14),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 14),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 15),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 15),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 15),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 15),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 15),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 15),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 15),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 15),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 16),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 16),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 16),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 16),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 16),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 16),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 16),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 16),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 17),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 17),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 17),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 17),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 17),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 17),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 17),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 17),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 18),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 18),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 18),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 18),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 18),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 18),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 18),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 18),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 19),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 19),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 19),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 19),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 19),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 19),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 19),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 19),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 20),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 20),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 20),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 20),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 20),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 20),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 20),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 20),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 21),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 21),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 21),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 21),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
